AcademicRecordKeywordID,AcademicRecordId,AcademicKeywordId
337877,88891,129031
337878,88891,129725
337879,88891,129726
337880,88892,128929
337881,88892,129727
337882,88892,129728
337883,88892,129729
337884,88892,129730
337885,88893,129731
337886,88893,129524
337887,88893,129732
337888,88893,129383
337889,88893,129733
337890,88894,129734
337891,88894,129735
337892,88894,128893
337893,88894,129736
337894,88894,129737
337895,88895,129738
337896,88895,129739
337897,88895,129740
337898,88896,129741
337899,88896,129742
337900,88897,129743
337901,88897,129744
337902,88898,128865
337903,88898,129745
337904,88898,129746
337905,88898,129747
337906,88898,129748
337907,88899,129749
337908,88899,129750
337909,88899,129751
337910,88899,129204
337911,88899,129752
337912,88899,129753
337913,88900,129743
337914,88900,129744
337915,88901,128885
337916,88901,128865
337917,88901,129754
337918,88901,129755
337919,88901,129711
337920,88901,129756
337921,88902,129707
337922,88902,129757
337923,88902,129758
337924,88902,129759
337925,88902,129760
337926,88902,129761
337927,88902,129762
337928,88902,129029
337929,88902,129763
337930,88903,129764
337931,88903,129765
337932,88903,129766
337933,88903,129767
337934,88903,129768
337935,88903,129769
337936,88904,129770
337937,88904,129771
337938,88905,129772
337939,88905,128929
337940,88905,129711
337941,88905,129773
337942,88906,128865
337943,88906,128885
337944,88906,128929
337945,88906,129774
337946,88906,129775
337947,88906,129776
337948,88907,129706
337949,88907,128879
337950,88907,129777
337951,88907,129778
337952,88907,129779
337953,88907,129780
337954,88907,129781
337955,88907,129782
337956,88908,129745
337957,88908,129783
337958,88908,129784
337959,88908,129785
337960,88908,129786
337961,88909,128885
337962,88909,128901
337963,88909,129787
337964,88909,129788
337965,88909,129789
337966,88909,129790
337967,88910,129791
337968,88910,129792
337969,88910,129793
337970,88910,129794
337971,88911,129795
337972,88911,129796
337973,88911,129797
337974,88912,129787
337975,88912,129798
337976,88912,129799
337977,88913,129800
337978,88913,129178
337979,88913,129801
337980,88913,129031
337981,88913,129802
337982,88914,129803
337983,88914,129804
337984,88914,129724
337985,88915,129745
337986,88915,129783
337987,88915,128933
337988,88916,129786
337989,88916,129739
337990,88917,129805
337991,88917,129806
337992,88917,129807
337993,88917,129808
337994,88918,129809
337995,88918,129810
337996,88918,129811
337997,88919,128865
337998,88919,129812
337999,88919,129707
338000,88919,129029
338001,88920,128865
338002,88920,128885
338003,88920,129813
338004,88920,129814
338005,88920,129815
338006,88920,129706
338007,88921,128865
338008,88921,128885
338009,88921,129786
338010,88921,129816
338011,88921,129817
338012,88921,129818
338013,88922,128865
338014,88922,128885
338015,88922,129819
338016,88922,129820
338017,88922,129821
338018,88922,129822
338019,88923,128933
338020,88923,129823
338021,88923,129824
338022,88923,129825
338023,88923,129826
338024,88924,128865
338025,88924,128885
338026,88924,129827
338027,88924,129828
338028,88924,129829
338029,88924,129815
338030,88924,129830
338031,88925,129831
338032,88925,129832
338033,88925,129833
338034,88926,128938
338035,88926,129834
338036,88926,129835
338037,88926,128929
338038,88926,129836
338039,88927,129837
338040,88927,129838
338041,88927,129839
338042,88928,128940
338043,88928,129840
338044,88928,129841
338045,88928,129842
338046,88928,129838
338047,88929,129843
338048,88929,129844
338049,88929,129845
338050,88930,129846
338051,88930,129847
338052,88930,129848
338053,88931,129849
338054,88931,129850
338055,88931,129851
338056,88932,129792
338057,88932,129852
338058,88932,129853
338059,88932,128933
338060,88933,129792
338061,88933,129854
338062,88933,129783
338063,88934,128885
338064,88934,128915
338065,88934,129855
338066,88934,129856
338067,88934,129857
338068,88935,128865
338069,88935,128915
338070,88935,128991
338071,88935,129858
338072,88935,129859
338073,88935,129860
338074,88936,128901
338075,88936,128915
338076,88936,128991
338077,88936,128902
338078,88936,128903
338079,88936,128885
338080,88936,129861
338081,88936,129862
338082,88936,129863
338083,88936,129864
338084,88936,129865
338085,88936,129866
338086,88936,129867
338087,88936,129868
338088,88937,128915
338089,88937,128991
338090,88937,129869
338091,88937,129870
338092,88937,129871
338093,88938,128901
338094,88938,128915
